sio2,tio2,al2o3,feot,mno,bao,sro,mgo,cao,li2o,na2o,k2o,p2o5,h2o,T,viscosity
66,0,0,0,0,0,0,0,0,0,0,34,0,0,725,11.76
66,0,0,0,0,0,0,0,0,0,0,34,0,0,745,10.63
66,0,0,0,0,0,0,0,0,0,0,34,0,0,765,9.57
66,0,0,0,0,0,0,0,0,0,0,34,0,0,775,9.06
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1373,2.1
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1423,1.83
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1473,1.59
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1523,1.35
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1573,1.16
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1623,0.92
66,0,0,0,0,0,0,0,0,0,0,34,0,0,1673,0.78
