name,Xanes Fe3+,log fO2
r520.txt,1,4.8
r521.txt,1,4.8
r522.txt,1,4.8
r523.txt,1,4.8
r524.txt,1,4.8
r145.txt,0.773,0
r165.txt,0.773,0
r236.txt,0.773,0
r237.txt,0.773,0
r238.txt,0.773,0
r163.txt,0.661,-1
r164.txt,0.661,-1
r239.txt,0.661,-1
r240.txt,0.661,-1
r241.txt,0.661,-1
r161.txt,0.537,-2
r162.txt,0.537,-2
r268_0.txt,0.537,-2
r268_1.txt,0.537,-2
r268_2.txt,0.537,-2
r159.txt,0.414,-3.1
r160.txt,0.414,-3.1
r269_0.txt,0.414,-3.1
r269_1.txt,0.414,-3.1
r269_2.txt,0.414,-3.1
r157.txt,0.25,-4
r158.txt,0.25,-4
r270_0.txt,0.25,-4
r270_1.txt,0.25,-4
r270_2.txt,0.25,-4
r151.txt,0.167,-5
r152.txt,0.167,-5
r271_0.txt,0.167,-5
r271_1.txt,0.167,-5
r271_2.txt,0.167,-5
r149.txt,0.103,-6
r150.txt,0.103,-6
r272_0.txt,0.103,-6
r272_1.txt,0.103,-6
r272_2.txt,0.103,-6
r147.txt,0.039,-7
r153.txt,0.039,-7
r273_0.txt,0.039,-7
r273_1.txt,0.039,-7
r273_2.txt,0.039,-7
r148.txt,0.024,-8
r154.txt,0.024,-8
r275_0.txt,0.024,-8
r275_1.txt,0.024,-8
r275_2.txt,0.024,-8
r276_0.txt,0.017,-9
r276_1.txt,0.017,-9
r276_2.txt,0.017,-9
r364.txt,0.017,-9
r365.txt,0.017,-9
r277_0.txt,0,-10
r277_1.txt,0,-10
r277_2.txt,0,-10
r362.txt,0,-10
r363.txt,0,-10
r155.txt,0,-11
r156.txt,0,-11
r278_0.txt,0,-11
r278_1.txt,0,-11
r278_2.txt,0,-11
r280_0.txt,0,-13
r280_2.txt,0,-13
r281.txt,0,-13
r361.txt,0,-13
r360.txt,0,-13
